Species,Mass,Length,Habitat,Dietti
Microtus pennsylvanicus,43.67,161.5,Temperate, Folivore
Microtus pinetorum,25.5,101.5,Temperate, Granivore
Microtus xanthognathus,150.0,206.0,Terrestrial, Folivore
Mus musculus,21.0,80.0,Temperate,Omnivore
Muscardinus avellanarius,20.0,140.0,Temperate, Granivore
Myocastor coypus,7500.0,523.5,Tropical, Folivore
Myodes californicus,27.5,150.0,Temperate,Mycophage
Myodes gapperi,20.57,133.5,Temperate,Omnivore
Myodes glareolus,18.5,105.0,Temperate, Folivore
Myodes rutilus,30.0,144.0,Temperate, Folivore
Myoprocta acouchy,2500.0,427.0,Tropical, Frugivore
Myoprocta pratti,1000.0,340.5,Tropical, Frugivore
Myopus schisticolor,32.5,97.5,Temperate, Folivore
Myosciurus pumilio,16.5,67.5,Tropical, Lignivore
Mysateles prehensilis,1650.0,650.0,Tropical, Folivore
Mystromys albicaudatus,87.0,225.0,Temperate,Omnivore
Napaeozapus insignis,26.0,230.5,Temperate,Omnivore
Necromys lasiurus,35.0,178.0,Tropical, Granivore
Nectomys squamipes,216.0,208.0,Tropical,Carnivore
Neotoma albigula,197.0,328.0,Temperate, Folivore
Neotoma floridana,275.0,380.0,Temperate, Folivore
Neotoma lepida,236.0,344.0,Temperate, Folivore
Neotoma macrotis,204.0,188.1,Temperate, Lignivore
Neotoma magister,323.5,381.0,Temperate, Folivore
Neotoma mexicana,162.5,300.0,Temperate, Folivore
Neotomodon alstoni,50.0,115.0,Terrestrial,Omnivore
Neusticomys monticolus,40.0,208.3,Tropical,Carnivore
Notomys alexis,35.0,134.0,Temperate,Omnivore
Ochrotomys nuttalli,22.5,83.0,Temperate, Granivore
Octodon degus,235.0,382.5,Temperate, Folivore
Ondatra zibethicus,1135.8,515.0,Temperate,
Onychomys arenicola,25.75,146.0,Temperate,Carnivore
Orthogeomys cavator,700.0,247.5,Tropical, Folivore
Orthogeomys grandis,830.0,255.0,Tropical, Frugivore
Oryzomys albigularis,61.9,153.0,Tropical, Folivore
Oryzomys galapagoensis,64.5,113.0,Tropical,Omnivore
Pachyuromys duprasi,36.5,108.0,Temperate, Granivore
Pappogeomys bulleri,225.0,214.5,Tropical, Folivore
Paradipus ctenodactylus,140.0,132.5,Temperate, Folivore
Paraxerus flavovittis,160.0,175.0,Tropical, Frugivore
Perognathus amplus,11.7,73.0,Temperate, Granivore
Perognathus fasciatus,11.0,134.0,Temperate, Folivore
Perognathus flavescens,11.5,132.5,Temperate, Granivore
Perognathus inornatus,9.5,139.5,Temperate, Granivore
Peromyscus attwateri,30.0,202.5,Temperate,Omnivore
Peromyscus aztecus,29.0,228.5,Temperate,Omnivore
Peromyscus boylii,29.0,194.0,Temperate,Omnivore
Peromyscus californicus,43.8,252.5,Temperate, Frugivore
Peromyscus crinitus,17.0,175.0,Temperate,Omnivore
Peromyscus eremicus,25.0,85.0,Temperate,Omnivore
Peromyscus gossypinus,31.5,174.0,Temperate,Omnivore
Peromyscus keeni,20.0,208.5,Temperate, Granivore
Peromyscus leucopus,23.0,177.5,Temperate,Omnivore
Peromyscus maniculatus,17.0,170.5,Temperate,Omnivore
Peromyscus polionotus,12.5,130.0,Temperate, Granivore
Peromyscus truei,20.0,201.0,Temperate, Granivore
Petaurista elegans,1250.0,445.0,Temperate,Omnivore
Petaurista leucogenys,1150.0,445.0,Temperate, Folivore
Petromus typicus,200.0,325.0,Temperate, Folivore
Petromyscus collinus,18.2,162.0,Tropical,Omnivore
Phloeomys cumingi,1770.0,406.0,Tropical, Folivore
Phodopus campbelli,23.4,102.0,Temperate, Folivore
Platacanthomys lasiurus,75.0,171.0,Tropical, Frugivore
Psammomys obesus,166.5,157.5,Temperate, Folivore
Pteromyscus pulverulentus,,,Tropical, Folivore
Rattus exulans,60.0,132.5,Temperate,Omnivore
Rattus norvegicus,400.0,399.0,Temperate,Omnivore
Rattus rattus,200.0,190.0,Temperate, Granivore
Ratufa indica,1750.0,355.5,Tropical,Omnivore
Reithrodon auritus,80.0,260.0,Temperate, Folivore
Reithrodontomys megalotis,12.5,140.0,Temperate, Granivore
